lineNo,direction,day,courseId,time,stopName
1,MAZOWIECKA,week,1,05:00,HALINÓW/PĘTLA
1,MAZOWIECKA,week,2,05:55,HALINÓW/PĘTLA
1,MAZOWIECKA,week,3,06:55,HALINÓW/PĘTLA
1,MAZOWIECKA,week,4,09:00,HALINÓW/PĘTLA
1,MAZOWIECKA,week,5,11:13,HALINÓW/PĘTLA
1,MAZOWIECKA,week,6,12:35,HALINÓW/PĘTLA
1,MAZOWIECKA,week,7,13:28,HALINÓW/PĘTLA
1,MAZOWIECKA,week,8,14:40,HALINÓW/PĘTLA
1,MAZOWIECKA,week,9,16:15,HALINÓW/PĘTLA
1,MAZOWIECKA,week,10,18:00,HALINÓW/PĘTLA
1,MAZOWIECKA,saturday,11,09:00,HALINÓW/PĘTLA
1,MAZOWIECKA,saturday,12,11:13,HALINÓW/PĘTLA
1,MAZOWIECKA,week,1,05:01,ŁÓDZKA 67
1,MAZOWIECKA,week,2,05:56,ŁÓDZKA 67
1,MAZOWIECKA,week,3,06:56,ŁÓDZKA 67
1,MAZOWIECKA,week,4,09:01,ŁÓDZKA 67
1,MAZOWIECKA,week,5,11:14,ŁÓDZKA 67
1,MAZOWIECKA,week,6,12:36,ŁÓDZKA 67
1,MAZOWIECKA,week,7,13:29,ŁÓDZKA 67
1,MAZOWIECKA,week,8,14:41,ŁÓDZKA 67
1,MAZOWIECKA,week,9,16:16,ŁÓDZKA 67
1,MAZOWIECKA,week,10,18:01,ŁÓDZKA 67
1,MAZOWIECKA,saturday,11,09:01,ŁÓDZKA 67
1,MAZOWIECKA,saturday,12,11:14,ŁÓDZKA 67
1,MAZOWIECKA,week,1,05:02,ŁÓDZKA 43
1,MAZOWIECKA,week,2,05:57,ŁÓDZKA 43
1,MAZOWIECKA,week,3,06:57,ŁÓDZKA 43
1,MAZOWIECKA,week,4,09:02,ŁÓDZKA 43
1,MAZOWIECKA,week,5,11:15,ŁÓDZKA 43
1,MAZOWIECKA,week,6,12:37,ŁÓDZKA 43
1,MAZOWIECKA,week,7,13:30,ŁÓDZKA 43
1,MAZOWIECKA,week,8,14:42,ŁÓDZKA 43
1,MAZOWIECKA,week,9,16:17,ŁÓDZKA 43
1,MAZOWIECKA,week,10,18:02,ŁÓDZKA 43
1,MAZOWIECKA,saturday,11,09:02,ŁÓDZKA 43
1,MAZOWIECKA,saturday,12,11:15,ŁÓDZKA 43
1,MAZOWIECKA,week,1,05:03,ŁÓDZKA/STACJA PALIW
1,MAZOWIECKA,week,2,05:58,ŁÓDZKA/STACJA PALIW
1,MAZOWIECKA,week,3,06:58,ŁÓDZKA/STACJA PALIW
1,MAZOWIECKA,week,4,09:03,ŁÓDZKA/STACJA PALIW
1,MAZOWIECKA,week,5,11:16,ŁÓDZKA/STACJA PALIW
1,MAZOWIECKA,week,6,12:38,ŁÓDZKA/STACJA PALIW
